id;name;ca;town;status;type;numVictims;lat;long
2570;Fosa en el Cementerio de Palma del Rio;Andalucía;Palma del Río;NO INTERVENIDA;;0;37.69779;-5.2797837
2571;;;;;;0;0.0;0.0
2572;Fosa en el Cementerio de Pozoblanco;Andalucía;Pozoblanco;NO INTERVENIDA;;0;38.380127;-4.8482056
2573;;;;;;0;0.0;0.0
2574;Fosa en el Cementerio de San Rafael en Córdoba;Andalucía;Córdoba;NO INTERVENIDA;;0;37.88853;-4.7739887
2575;;;;;;0;0.0;0.0
2576;Fosa en el Cementerio de Nuestra Señora de la Salud de Córdoba;Andalucía;Córdoba;NO INTERVENIDA;;0;37.88853;-4.7739887
2577;;;;;;0;0.0;0.0
2578;;Andalucía;Almodóvar del Río;EXHUMADA TOTAL;;0;38.0212;-5.021864
2579;;;;;;0;0.0;0.0
2580;Fosas en los cementerios de Alosno y de Tharsis;Andalucía;Alosno;DESAPARECIDA;;0;37.54928;-7.112975
2581;;;;;;0;0.0;0.0
2582;;;;;;0;0.0;0.0
2583;Fosa en el Cementerio de Aguilar de la Frontera (2ª fase);Andalucía;Aguilar de la Frontera;NO INTERVENIDA;;0;37.51627;-4.654256
2584;;;;;;0;0.0;0.0
2585;Fosa en el Cementerio de El Carpio;Andalucía;Carpio, El;EXHUMADA TOTAL;;0;37.94175;-4.4981833
2586;;;;;;0;0.0;0.0
2587;Fosa en el Cementerio de Fuente Tójar;Andalucía;Fuente-Tójar;EXHUMADA TOTAL;;0;37.51104;-4.14525
2588;;;;;;0;0.0;0.0
2589;Fosa en el Cementerio de Espejo;Andalucía;Espejo;EXHUMADA TOTAL;;0;37.889584;-4.554911
2590;;;;;;0;0.0;0.0
2591;Fosa en el Cementerio de Villafrnaca de Córdoba;Andalucía;Villafranca de Córdoba;NO INTERVENIDA;;0;37.96359;-4.5442724
2592;;;;;;0;0.0;0.0
2593;Fosa en el cementerio de Rute;Andalucía;Rute;EXHUMADA PARCIAL;;0;37.32707;-4.3668222
2594;;;;;;0;0.0;0.0
2595;Fosa en el Cemenerio de Villaharta;Andalucía;Villaharta;NO INTERVENIDA;;0;38.140934;-4.901711
2596;;;;;;0;0.0;0.0
2597;Fosa en el antiguo cementerio de Valsequillo;Andalucía;Valsequillo;EXHUMADA TOTAL;;0;38.40627;-5.3504276
2598;;;;;;0;0.0;0.0
2599;Fosa en el Cementerio de Belmez;Andalucía;Belmez;DESAPARECIDA;;0;38.27319;-5.206228
2600;;;;;;0;0.0;0.0
2601;Fosa en el Cementerio de Belmez;Andalucía;Belmez;EXHUMADA TOTAL;;0;38.27319;-5.206228
2602;;;;;;0;0.0;0.0
